message,label
look at this L team,poor_sportsmanship
teach me your strat,normal
see you next game!,normal
good comms!,normal
go cry about it,poor_sportsmanship
too easy lol,poor_sportsmanship
good comms!,normal
learn to play,poor_sportsmanship
who let these noobs in,poor_sportsmanship
outplayed and outclassed,poor_sportsmanship
don’t queue again pls,poor_sportsmanship
literal bronze gameplay,poor_sportsmanship
red team so bad,poor_sportsmanship
0 skill,poor_sportsmanship
lol this game’s fun,normal
red is actual bots,poor_sportsmanship
i love this game,normal
try harder next time,poor_sportsmanship
almost clutched that,normal
what a joke,poor_sportsmanship
yo wanna play again?,normal
0 skill,poor_sportsmanship
can't believe how bad blue is,poor_sportsmanship
literal bronze gameplay,poor_sportsmanship
don’t queue again pls,poor_sportsmanship
let’s do this!,normal
yo wanna play again?,normal
thanks for the help,normal
red is actual bots,poor_sportsmanship
who let these noobs in,poor_sportsmanship
almost clutched that,normal
hahaha ggs,normal
thanks for the help,normal
you too bro,normal
trash players fr,poor_sportsmanship
let’s try again!,normal
look at this L team,poor_sportsmanship
go cry about it,poor_sportsmanship
glhf!,normal
hi good luck!,normal
we clapped you,poor_sportsmanship
that was intense lol,normal
thanks for the help,normal
yo you’re pretty good,normal
bro you’re useless,poor_sportsmanship
close one haha,normal
no challenge at all,poor_sportsmanship
gg everyone,normal
no worries,normal
this ain’t even fair,poor_sportsmanship
omg how are yall this bad,poor_sportsmanship
well done,normal
oof good try,normal
another day another easy win,poor_sportsmanship
brb one sec,normal
nice job team,normal
literal bronze gameplay,poor_sportsmanship
respect,normal
outplayed and outclassed,poor_sportsmanship
cheers team,normal
we farming yall,poor_sportsmanship
red team so bad,poor_sportsmanship
yall suck fr,poor_sportsmanship
almost clutched that,normal
hi good luck!,normal
gg everyone,normal
not even close,poor_sportsmanship
learn to play,poor_sportsmanship
you too bro,normal
close game!,normal
free win lol,poor_sportsmanship
learn to play,poor_sportsmanship
outplayed and outclassed,poor_sportsmanship
no worries,normal
lol that was funny,normal
you’re cracked,normal
no challenge at all,poor_sportsmanship
trash players fr,poor_sportsmanship
how did you do that move?,normal
too easy lol,poor_sportsmanship
red team so bad,poor_sportsmanship
glhf!,normal
look at this L team,poor_sportsmanship
we destroyed you lol,poor_sportsmanship
free win lol,poor_sportsmanship
you lost before it started,poor_sportsmanship
had fun!,normal
nice job team,normal
can't believe how bad blue is,poor_sportsmanship
gg everyone,normal
brb one sec,normal
haha wild round,normal
we got this next round,normal
red is actual bots,poor_sportsmanship
honestly well played,normal
well played,normal
skill issue,poor_sportsmanship
can't believe how bad blue is,poor_sportsmanship
i love this game,normal
enjoyed that one,normal
we destroyed you lol,poor_sportsmanship
0 skill,poor_sportsmanship
clown team,poor_sportsmanship
close game!,normal
close game!,normal
no worries,normal
you guys are pathetic,poor_sportsmanship
yall suck fr,poor_sportsmanship
yall need to uninstall,poor_sportsmanship
good match,normal
you’re not even trying,poor_sportsmanship
you’re cracked,normal
oof good try,normal
yall suck fr,poor_sportsmanship
